timestamp,gyro_x,gyro_y,gyro_z
1755663718.557387,0.431,-0.672,0.694
1755667949.073073,0.113,-0.825,-0.553
1755667949.720163,0.113,-0.825,-0.552
1755667949.845964,0.114,-0.825,-0.552
1755667949.965873,0.113,-0.825,-0.553
1755667950.095605,0.112,-0.825,-0.552
1755667950.229187,0.111,-0.826,-0.553
1755667950.357688,0.112,-0.825,-0.554
1755667950.476362,0.114,-0.825,-0.553
1755667950.6033878,0.112,-0.825,-0.552
1755667950.725464,0.112,-0.826,-0.553
1755667950.841835,0.114,-0.825,-0.553
1755667950.9677272,0.112,-0.826,-0.552
1755667951.087667,0.112,-0.825,-0.552
1755667951.209406,0.114,-0.825,-0.554
1755667951.333885,0.113,-0.824,-0.553
1755667951.457789,0.113,-0.826,-0.552
1755667951.57908,0.114,-0.824,-0.553
1755667951.696167,0.114,-0.825,-0.552
1755667951.81932,0.11,-0.826,-0.552
1755667951.934879,0.111,-0.826,-0.553
1755667952.058045,0.115,-0.825,-0.554
1755667952.184288,0.113,-0.825,-0.552
1755667952.306634,0.11,-0.827,-0.551
1755667952.4251678,0.115,-0.824,-0.554
1755667952.5519948,0.112,-0.826,-0.553
1755667952.683768,0.11,-0.825,-0.552
1755667952.8063302,0.114,-0.824,-0.554
1755667952.934199,0.114,-0.825,-0.553
1755667953.0518022,0.113,-0.821,-0.534
1755667953.181785,0.11,-0.827,-0.577
1755667953.302943,0.113,-0.825,-0.552
1755667953.428583,0.111,-0.826,-0.551
1755667953.554404,0.074,-0.857,-0.325
1755667953.6736078,0.365,-0.94,-0.291
1755667953.806634,0.557,-0.932,-0.09
1755667953.9286542,0.508,-1.116,-0.068
1755667954.050924,0.584,-0.936,0.003
1755667954.1807098,0.452,-1.146,0.097
1755667954.3109171,0.129,-0.836,-0.038
1755667954.423059,0.022,-0.917,0.011
1755667954.539098,-0.196,-0.947,-0.037
1755667954.664708,-0.398,-0.69,-0.093
1755667954.799083,-0.537,-0.714,-0.19
1755667954.919988,-0.628,-0.723,-0.163
1755667955.0432398,-0.66,-0.413,0.029
1755667955.162963,-0.734,-0.14,0.128
1755667955.290755,-0.481,0.053,0.233
1755667955.4122822,-0.021,-0.073,0.863
1755667955.534837,0.284,0.096,1.16
1755667955.6509051,0.425,0.082,0.823
1755667955.7846038,0.781,-0.264,1.128
1755667955.905289,0.922,-0.209,0.944
1755667956.016727,1.034,-0.384,0.877
1755667956.141669,1.357,-0.436,1.432
1755667956.264032,1.395,-0.539,1.296
1755667956.390484,0.74,-0.539,0.765
1755667956.514473,0.154,0.227,0.588
1755667956.638754,-0.256,0.002,-0.164
1755667956.756331,-0.013,-1.194,-0.193
1755667956.879149,-0.098,-2.031,-0.425
1755667957.001194,-0.302,-1.157,-0.244
1755667957.1288168,-0.26,-0.239,-0.421
1755667957.2469828,-0.01,-0.078,0.77
1755667957.3685849,0.237,0.081,0.776
1755667957.495292,0.639,0.159,1.06
1755667957.620907,0.876,-0.224,1.163
1755667957.742228,1.042,-0.125,1.676
1755667957.8650692,0.819,-0.045,1.536
1755667957.9865248,0.96,-0.047,1.303
1755667958.11559,0.248,-0.038,0.587
1755667958.2403462,-0.243,-0.291,0.238
1755667958.372488,-0.516,-0.538,0.182
1755667958.487724,-0.748,-0.784,0.103
1755667958.604754,-0.731,-0.521,0.086
1755667958.724295,-0.562,-0.168,0.384
1755667958.847167,-0.335,-0.037,0.925
1755667958.96634,-0.109,0.01,0.844
1755667959.084056,0.223,0.061,0.938
1755667959.197223,0.566,-0.033,1.178
1755667959.311837,0.717,-0.072,1.527
1755667959.437428,0.702,0.022,1.216
1755667959.5588942,0.589,0.038,1.26
1755667959.683619,0.405,0.031,0.918
1755667959.806127,-0.025,-0.194,0.823
1755667959.922793,-0.138,0.052,0.691
1755667960.046494,-0.262,-0.386,0.741
1755667960.181222,-0.309,-0.393,0.713
1755667960.301046,-0.343,-0.438,0.908
1755667960.420161,-0.159,-0.487,0.895
1755667960.5540109,0.231,-0.751,1.056
1755667960.66432,0.157,-0.64,0.685
1755667960.806772,0.227,-1.142,0.551
1755667960.9302778,0.185,-0.685,0.646
1755667961.055275,0.18,-0.735,0.339
1755667961.168748,0.221,-0.919,0.192
1755667961.3054469,0.259,-1.163,-0.14
1755667961.4205508,0.048,-0.955,0.185
1755667961.545735,0.062,-0.951,0.268
1755667961.664675,0.113,-0.943,0.371
1755667961.783329,0.152,-0.874,0.503
1755667961.893964,-0.04,-0.803,0.618
1755667962.017427,0.104,-0.755,0.669
1755667962.135309,0.099,-0.752,0.676
1755667962.260185,0.112,-0.751,0.673
1755667962.3814662,0.109,-0.782,0.64
1755667962.5033238,0.106,-0.791,0.635
1755667962.635772,0.103,-0.803,0.614
1755667962.752894,0.115,-0.809,0.602
1755667962.868248,0.112,-0.805,0.605
1755667962.994231,0.106,-0.803,0.613
1755667963.116676,0.109,-0.804,0.609
1755667963.237954,0.113,-0.8,0.614
1755667963.353718,0.118,-0.795,0.627
1755667963.474884,0.109,-0.799,0.617
1755667963.5960672,0.114,-0.801,0.61
1755667963.714452,0.109,-0.801,0.614
1755667963.823673,0.109,-0.8,0.615
1755667963.950807,0.11,-0.801,0.613
1755667964.067567,0.111,-0.799,0.614
1755667964.190965,0.108,-0.796,0.619
1755667964.308971,0.111,-0.8,0.616
1755667964.43746,0.109,-0.799,0.618
1755667964.559221,0.109,-0.798,0.617
1755667964.680452,0.109,-0.799,0.618
1755667964.792723,0.113,-0.8,0.615
1755667964.9097888,0.109,-0.797,0.617
1755667965.0327628,0.108,-0.799,0.618
1755667965.1539252,0.11,-0.799,0.615
1755667965.274376,0.108,-0.798,0.619
1755667965.399512,0.11,-0.799,0.617
1755667965.516778,0.109,-0.798,0.619
1755667965.6463249,0.112,-0.798,0.617
1755667965.763583,0.109,-0.8,0.619
1755667965.88566,0.11,-0.799,0.618
1755667966.006261,0.111,-0.799,0.616
1755667966.128475,0.11,-0.799,0.618
1755667966.234748,0.109,-0.798,0.618
1755667966.355705,0.109,-0.798,0.619
1755667966.474684,0.112,-0.799,0.617
1755667966.5935612,0.109,-0.797,0.619
1755667966.715501,0.11,-0.798,0.617
1755667966.835101,0.11,-0.798,0.618
1755667966.953168,0.111,-0.799,0.618
1755667967.071294,0.109,-0.798,0.619
1755667967.192201,0.11,-0.798,0.619
1755667967.3105438,0.111,-0.799,0.617
1755667967.43725,0.109,-0.799,0.619
1755667967.560083,0.11,-0.797,0.618
1755667967.681213,0.11,-0.798,0.618
1755667967.790442,0.111,-0.798,0.617
1755667967.908746,0.108,-0.798,0.62
1755667968.022779,0.111,-0.799,0.617
1755667968.144158,0.11,-0.798,0.617
1755667968.4113631,0.109,-0.799,0.618
1755667968.531199,0.11,-0.799,0.618
1755667968.6399722,0.111,-0.798,0.617
1755667968.7595332,0.109,-0.799,0.618
1755667968.8769689,0.109,-0.798,0.619
1755667968.998049,0.112,-0.799,0.617
1755667969.116274,0.109,-0.799,0.618
1755667969.253852,0.11,-0.799,0.619
1755667969.3721752,0.111,-0.798,0.617
1755667969.489984,0.11,-0.798,0.618
1755667969.609511,0.109,-0.798,0.618
1755667969.7255402,0.11,-0.799,0.618
1755667969.839803,0.11,-0.799,0.617
1755667969.961432,0.11,-0.799,0.618
1755667970.088872,0.109,-0.798,0.618
1755667970.206128,0.111,-0.798,0.617
1755667970.324436,0.11,-0.799,0.617
1755667970.435456,0.109,-0.797,0.619
1755667970.5557802,0.11,-0.799,0.616
1755667970.664653,0.111,-0.799,0.617
1755667970.774539,0.109,-0.798,0.618
1755667970.892712,0.11,-0.799,0.617
1755667971.0024168,0.11,-0.8,0.616
1755667971.1114628,0.109,-0.799,0.618
1755667971.225962,0.11,-0.799,0.618
1755667971.345056,0.111,-0.798,0.616
1755667971.463687,0.109,-0.798,0.618
1755667971.587061,0.109,-0.798,0.617
1755667971.7018912,0.112,-0.799,0.617
1755667971.8221068,0.109,-0.798,0.616
1755667971.9836202,0.109,-0.799,0.617
1755667972.107218,0.11,-0.799,0.616
1755667972.225864,0.111,-0.799,0.615
1755667972.331291,0.109,-0.797,0.615
1755667972.447634,0.11,-0.799,0.615
1755667972.5759082,0.11,-0.8,0.614
1755667972.694152,0.109,-0.798,0.615
1755667972.8131,0.109,-0.798,0.615
1755667972.931937,0.11,-0.8,0.614
1755667973.041584,0.11,-0.799,0.613
1755667973.163778,0.109,-0.798,0.615
1755667973.282616,0.109,-0.799,0.613
1755667973.39753,0.109,-0.8,0.613
1755667973.524904,0.11,-0.798,0.614
1755667973.6458392,0.11,-0.798,0.614
1755667973.754088,0.11,-0.799,0.612
1755667973.876798,0.11,-0.799,0.614
1755667973.9966028,0.11,-0.799,0.614
1755667974.1131752,0.109,-0.799,0.615
1755667974.222392,0.11,-0.799,0.614
1755667974.335706,0.108,-0.799,0.615
1755667974.451852,0.11,-0.799,0.614
1755667974.573142,0.109,-0.799,0.614
1755667974.690864,0.11,-0.798,0.613
1755667974.810789,0.108,-0.798,0.615
1755667974.9334478,0.11,-0.8,0.613
1755667975.051368,0.111,-0.799,0.614
1755667975.166404,0.11,-0.8,0.617
1755667975.283815,0.109,-0.798,0.615
1755667975.396642,0.11,-0.798,0.615
1755667975.510282,0.11,-0.799,0.614
1755667975.627246,0.11,-0.798,0.615
1755667975.749345,0.11,-0.798,0.615
1755667975.866125,0.109,-0.799,0.615
1755667975.9866638,0.109,-0.798,0.616
1755667976.1101718,0.11,-0.798,0.615
1755667976.2333188,0.109,-0.799,0.615
1755667976.355923,0.109,-0.799,0.614
1755667976.48327,0.109,-0.799,0.615
1755667976.603732,0.11,-0.799,0.614
1755667976.7183528,0.11,-0.799,0.616
1755667976.8410308,0.109,-0.799,0.615
1755667976.956767,0.109,-0.798,0.614
1755667977.0689988,0.11,-0.798,0.615
1755667977.196262,0.11,-0.799,0.614
1755667977.320769,0.11,-0.799,0.613
1755667977.4410062,0.11,-0.798,0.613
1755667977.565265,0.109,-0.798,0.615
1755667977.679095,0.111,-0.799,0.613
1755667977.799447,0.11,-0.798,0.613
1755667977.9201431,0.109,-0.799,0.614
1755667978.0415,0.109,-0.8,0.614
1755667978.1539211,0.11,-0.798,0.614
1755667978.273603,0.109,-0.799,0.614
1755667978.387928,0.109,-0.799,0.615
1755667978.519822,0.11,-0.798,0.614
1755667978.642071,0.111,-0.798,0.614
1755667978.7589078,0.108,-0.8,0.616
1755667978.8692522,0.109,-0.799,0.615
1755667978.989492,0.11,-0.799,0.615
1755667979.111124,0.109,-0.798,0.615
1755667979.2241752,0.11,-0.799,0.615
1755667979.3444831,0.109,-0.799,0.614
1755667979.453894,0.11,-0.798,0.615
1755667979.571682,0.109,-0.798,0.616
1755667979.685666,0.11,-0.799,0.615
1755667979.816948,0.111,-0.799,0.615
1755667979.92478,0.109,-0.799,0.616
1755667980.03931,0.109,-0.798,0.615
1755667980.147436,0.11,-0.798,0.615
1755667980.269953,0.11,-0.798,0.616
1755667980.382027,0.109,-0.798,0.616
1755667980.505674,0.111,-0.798,0.616
1755667980.61449,0.11,-0.798,0.616
1755667980.72639,0.11,-0.798,0.617
1755667980.845171,0.11,-0.798,0.617
1755667980.967614,0.11,-0.798,0.616
1755667981.082266,0.109,-0.797,0.617
1755667981.1998022,0.111,-0.797,0.616
1755667981.31127,0.11,-0.799,0.617
1755667981.423817,0.109,-0.798,0.617
1755667981.544511,0.11,-0.799,0.617
1755667981.672339,0.111,-0.8,0.616
1755667981.7846951,0.11,-0.799,0.619
1755667981.912639,0.11,-0.799,0.617
1755667982.050986,0.11,-0.798,0.617
1755667982.167391,0.109,-0.796,0.617
1755667982.2892,0.109,-0.798,0.618
1755667982.4006588,0.11,-0.799,0.618
1755667982.516299,0.109,-0.798,0.619
1755667982.632206,0.11,-0.798,0.617
1755667982.7646852,0.11,-0.799,0.616
1755667982.889499,0.11,-0.798,0.618
1755667983.005832,0.11,-0.799,0.617
1755667983.1225631,0.11,-0.798,0.617
1755667983.234887,0.11,-0.799,0.618
1755667983.355207,0.111,-0.799,0.617
1755667983.472667,0.108,-0.796,0.621
1755667983.597776,0.111,-0.8,0.615
1755667983.719747,0.112,-0.798,0.616
1755667983.8383071,0.108,-0.797,0.619
1755667983.956766,0.109,-0.798,0.618
1755667984.0780852,0.113,-0.8,0.615
1755667984.193922,0.108,-0.797,0.62
1755667984.3139,0.109,-0.798,0.619
1755667984.424122,0.111,-0.799,0.616
1755667984.575924,0.111,-0.799,0.617
1755667984.6897411,0.109,-0.797,0.621
1755667984.796983,0.11,-0.798,0.617
1755667984.914298,0.112,-0.8,0.617
1755667985.032041,0.109,-0.798,0.62
1755667985.138473,0.11,-0.799,0.618
1755667985.2570932,0.111,-0.799,0.617
1755667985.372788,0.11,-0.798,0.617
1755667985.488204,0.109,-0.798,0.62
1755667985.6034172,0.111,-0.798,0.617
1755667985.710446,0.109,-0.798,0.618
1755667985.817722,0.11,-0.798,0.619
1755667985.93639,0.111,-0.798,0.618
1755667986.064424,0.111,-0.798,0.617
1755667986.177596,0.109,-0.798,0.619
1755667986.292943,0.11,-0.799,0.618
1755667986.413764,0.111,-0.799,0.618
1755667986.527667,0.109,-0.798,0.618
1755667986.651626,0.11,-0.798,0.618
1755667986.7684429,0.11,-0.798,0.618
1755667986.892643,0.11,-0.798,0.618
1755667987.006424,0.109,-0.798,0.619
1755667987.1394382,0.111,-0.798,0.618
1755667987.2550662,0.11,-0.798,0.617
1755667987.372782,0.11,-0.798,0.617
1755667987.484702,0.105,-0.8,0.622
1755667987.596555,0.115,-0.801,0.615
1755667987.711396,0.108,-0.796,0.619
1755667987.830656,0.106,-0.797,0.621
1755667987.943021,0.113,-0.799,0.615
1755667988.0531042,0.111,-0.799,0.617
1755667988.174869,0.109,-0.798,0.62
1755667988.283445,0.109,-0.798,0.618
1755667988.396031,0.111,-0.799,0.616
1755667988.5210729,0.11,-0.799,0.619
1755667988.6284711,0.111,-0.799,0.618
1755667988.757926,0.111,-0.799,0.618
1755667988.905021,0.11,-0.798,0.617
1755667989.008488,0.108,-0.798,0.619
1755667989.115162,0.111,-0.799,0.616
1755667989.228118,0.109,-0.798,0.619
1755667989.350386,0.111,-0.798,0.617
1755667989.460917,0.108,-0.798,0.619
1755667989.572982,0.112,-0.799,0.616
1755667989.691909,0.11,-0.797,0.619
1755667989.802318,0.111,-0.798,0.617
1755667989.920928,0.11,-0.798,0.617
1755667990.036154,0.11,-0.798,0.617
1755667990.148443,0.11,-0.798,0.619
1755667990.259378,0.11,-0.798,0.616
1755667990.373659,0.11,-0.798,0.617
1755667990.481688,0.108,-0.798,0.619
1755667990.59011,0.11,-0.798,0.618
1755667990.6995258,0.11,-0.799,0.618
1755667990.812139,0.108,-0.797,0.618
1755667990.927865,0.112,-0.799,0.617
1755667991.041064,0.11,-0.785,0.615
1755667991.151777,0.109,-0.802,0.621
1755667991.265416,0.111,-0.797,0.614
1755667991.380215,0.11,-0.8,0.618
1755667991.494748,0.111,-0.798,0.616
1755667991.602375,0.108,-0.797,0.62
1755667991.714067,0.11,-0.798,0.618
1755667991.831818,0.11,-0.797,0.617
1755667991.954409,0.109,-0.803,0.622
1755667992.0614989,0.11,-0.798,0.616
1755667992.182538,0.109,-0.797,0.618
1755667992.309315,0.112,-0.8,0.615
1755667992.423182,0.109,-0.798,0.617
1755667992.534098,0.11,-0.798,0.618
1755667992.651039,0.109,-0.798,0.618
1755667992.7616682,0.109,-0.798,0.617
1755667992.881545,0.109,-0.798,0.617
1755667992.992903,0.11,-0.798,0.616
1755667993.1180742,0.11,-0.798,0.616
1755667993.2379751,0.109,-0.798,0.616
1755667993.3616068,0.11,-0.799,0.615
1755667993.474189,0.11,-0.797,0.615
1755667993.587308,0.11,-0.798,0.614
1755667993.702827,0.109,-0.799,0.615
1755667993.8572931,0.11,-0.798,0.614
1755667993.969772,0.109,-0.798,0.615
1755667994.101644,0.109,-0.799,0.615
1755667994.244014,0.11,-0.798,0.615
1755667994.364467,0.111,-0.798,0.614
1755667994.474089,0.11,-0.799,0.615
1755667994.586891,0.109,-0.8,0.615
1755667994.70735,0.109,-0.799,0.615
1755667994.814369,0.109,-0.793,0.612
1755667994.9385788,0.109,-0.798,0.615
1755667995.0550468,0.109,-0.799,0.614
1755667995.179142,0.109,-0.798,0.615
1755667995.305917,0.11,-0.798,0.615
1755667995.414902,0.11,-0.799,0.615
1755667995.525216,0.11,-0.798,0.615
1755667995.636457,0.109,-0.799,0.615
1755667995.746909,0.109,-0.799,0.615
1755667995.854421,0.108,-0.799,0.615
1755667995.967595,0.11,-0.798,0.616
1755667996.087509,0.109,-0.798,0.615
1755667996.198157,0.11,-0.798,0.616
1755667996.306957,0.11,-0.798,0.615
1755667996.435643,0.109,-0.799,0.617
1755667996.565184,0.11,-0.799,0.616
1755667996.681984,0.11,-0.799,0.616
1755667996.8102589,0.109,-0.798,0.617
1755667996.917838,0.109,-0.798,0.617
1755667997.023927,0.11,-0.798,0.616
1755667997.137043,0.109,-0.799,0.617
1755667997.256968,0.11,-0.798,0.616
1755667997.372619,0.11,-0.797,0.616
1755667997.486669,0.109,-0.798,0.618
1755667997.6011431,0.109,-0.798,0.618
1755667997.718635,0.11,-0.799,0.616
1755667997.833753,0.109,-0.798,0.616
1755667997.951862,0.11,-0.798,0.617
1755667998.061769,0.11,-0.798,0.617
1755667998.178648,0.109,-0.799,0.616
1755667998.298639,0.109,-0.798,0.618
1755667998.406976,0.11,-0.799,0.617
1755667998.521451,0.11,-0.798,0.616
1755667998.642796,0.11,-0.798,0.617
1755667998.765579,0.109,-0.798,0.618
1755667998.8842251,0.11,-0.799,0.616
1755667998.99774,0.11,-0.798,0.617
1755667999.11998,0.109,-0.798,0.617
1755667999.233921,0.11,-0.798,0.617
1755667999.358478,0.11,-0.798,0.617
1755667999.498107,0.108,-0.799,0.619
1755667999.63579,0.11,-0.797,0.617
1755667999.755815,0.111,-0.798,0.616
1755667999.8662028,0.108,-0.798,0.618
1755667999.993561,0.11,-0.799,0.617
1755668000.118229,0.11,-0.798,0.617
1755668000.230301,0.11,-0.798,0.617
1755668000.3487518,0.109,-0.798,0.617
1755668000.470091,0.11,-0.798,0.617
1755668000.585397,0.11,-0.798,0.617
1755668000.701872,0.109,-0.798,0.618
1755668000.824527,0.11,-0.798,0.617
1755668000.944504,0.111,-0.798,0.617
1755668001.0592158,0.11,-0.798,0.617
1755668001.1768682,0.11,-0.799,0.617
1755668001.290067,0.111,-0.799,0.617
1755668001.4009411,0.11,-0.799,0.617
1755668001.509825,0.11,-0.797,0.618
1755668001.629998,0.11,-0.799,0.617
1755668001.744877,0.11,-0.799,0.617
1755668001.856564,0.11,-0.798,0.617
1755668001.972961,0.109,-0.799,0.618
1755668002.107093,0.111,-0.798,0.616
1755668002.22515,0.11,-0.798,0.618
1755668002.337652,0.109,-0.798,0.618
1755668002.456059,0.109,-0.798,0.617
1755668002.568131,0.11,-0.798,0.617
1755668002.693326,0.109,-0.798,0.618
1755668002.8117728,0.11,-0.798,0.618
1755668002.935274,0.111,-0.798,0.617
1755668003.093083,0.11,-0.797,0.618
1755668003.215246,0.109,-0.799,0.619
1755668003.336106,0.111,-0.799,0.617
1755668003.452584,0.11,-0.798,0.618
1755668003.577028,0.11,-0.798,0.618
1755668003.708033,0.11,-0.799,0.617
1755668003.828348,0.111,-0.798,0.617
1755668003.9479492,0.109,-0.798,0.619
1755668004.058532,0.109,-0.799,0.618
1755668004.187297,0.111,-0.798,0.617
1755668004.302351,0.11,-0.799,0.619
1755668004.411773,0.11,-0.798,0.618
1755668004.532681,0.11,-0.798,0.617
1755668004.763662,0.11,-0.799,0.618
1755668004.886772,0.11,-0.798,0.618
1755668005.0028422,0.11,-0.798,0.617
1755668005.125122,0.11,-0.798,0.618
1755668005.248186,0.109,-0.798,0.618
1755668005.368247,0.11,-0.798,0.619
1755668005.4992151,0.11,-0.798,0.616
1755668005.611551,0.109,-0.798,0.618
1755668005.7272708,0.11,-0.797,0.618
1755668005.846739,0.11,-0.798,0.618
1755668005.9702358,0.111,-0.798,0.618
1755668006.094092,0.109,-0.798,0.617
1755668006.210853,0.11,-0.798,0.618
1755668006.3188329,0.111,-0.798,0.617
1755668006.42743,0.109,-0.799,0.618
1755668006.543679,0.111,-0.798,0.617
1755668006.666506,0.109,-0.798,0.617
1755668006.781282,0.11,-0.798,0.617
1755668006.901608,0.109,-0.799,0.617
1755668007.023063,0.109,-0.799,0.617
1755668007.149429,0.111,-0.799,0.617
1755668007.273943,0.11,-0.799,0.617
1755668007.3987358,0.11,-0.799,0.618
1755668007.540918,0.11,-0.798,0.617
1755668007.663125,0.11,-0.799,0.617
1755668007.7822258,0.11,-0.799,0.618
1755668007.902464,0.11,-0.799,0.617
1755668008.023278,0.111,-0.798,0.617
1755668008.142593,0.111,-0.797,0.617
1755668008.269747,0.11,-0.798,0.617
1755668008.3874052,0.11,-0.798,0.617
1755668008.516276,0.11,-0.799,0.617
1755668008.636279,0.109,-0.798,0.618
1755668008.750692,0.111,-0.798,0.617
1755668008.871804,0.109,-0.798,0.617
1755668009.002321,0.11,-0.798,0.616
1755668009.121416,0.112,-0.799,0.616
1755668009.2359838,0.105,-0.799,0.622
1755668009.3523352,0.109,-0.799,0.617
1755668009.470059,0.112,-0.799,0.615
1755668009.574715,0.11,-0.798,0.617
1755668009.693254,0.107,-0.798,0.619
1755668009.806187,0.113,-0.8,0.615
1755668009.938682,0.11,-0.799,0.617
1755668807.435403,0.009,-0.998,0.102
1755668807.7268438,0.008,-0.998,0.102
1755668807.853271,0.022,-1.0,0.101
1755668807.982357,0.008,-0.998,0.102
1755668808.099015,0.009,-0.998,0.102
1755668808.226262,0.009,-0.998,0.102
1755668808.353227,0.009,-0.998,0.102
1755668808.473456,0.009,-0.998,0.102
1755668808.5925262,0.008,-0.998,0.101
1755668808.7118368,0.008,-0.998,0.102
1755668808.836648,0.008,-0.998,0.102
1755668808.956924,0.008,-0.998,0.102
1755668809.074852,0.009,-0.998,0.102
1755668809.189954,0.008,-0.999,0.102
1755668809.311195,0.009,-0.997,0.102
1755668809.429688,0.009,-0.998,0.102
1755668809.554374,0.008,-0.997,0.102
1755668809.681412,0.01,-0.998,0.101
1755668809.8075452,0.007,-0.998,0.102
1755668809.9336882,0.009,-0.997,0.102
1755668810.053799,0.009,-0.998,0.102
1755668810.173833,0.008,-0.997,0.102
1755668810.2959092,0.008,-0.998,0.102
1755668810.417352,0.008,-0.997,0.102
1755668810.537863,0.01,-0.998,0.101
1755668810.656839,0.007,-0.998,0.102
1755668810.776286,0.009,-0.998,0.102
1755668810.89553,0.007,-0.998,0.102
1755668811.012819,0.009,-0.998,0.101
1755668811.137616,0.008,-0.998,0.102
1755668811.259304,0.008,-0.998,0.102
1755668811.378436,0.008,-0.998,0.102
1755668811.501803,0.009,-0.998,0.101
1755668811.625578,0.009,-0.998,0.101
1755668811.756373,0.009,-0.997,0.102
1755668811.9101288,0.01,-0.999,0.102
1755668812.026897,0.008,-0.999,0.102
1755668812.14626,0.01,-0.998,0.101
1755668812.26209,0.008,-0.998,0.102
1755668812.3820632,0.009,-0.997,0.102
1755668812.5036402,0.008,-0.998,0.102
1755668812.626683,0.009,-0.997,0.102
1755668812.745512,0.008,-0.998,0.102
1755668812.873158,0.008,-0.997,0.101
1755668812.985976,0.011,-0.997,0.102
1755668813.109566,0.008,-0.998,0.102
1755668813.234551,0.01,-0.997,0.101
1755668813.3562582,0.007,-0.998,0.102
1755668813.477536,0.01,-0.998,0.102
1755668813.58952,0.008,-0.997,0.101
1755668813.704421,0.008,-0.998,0.101
1755668813.819647,0.009,-0.998,0.103
1755668813.9376929,0.01,-0.997,0.102
1755668814.053653,0.007,-0.999,0.103
1755668814.172499,0.011,-0.997,0.102
1755668814.286029,0.009,-0.998,0.101
1755668814.395989,0.008,-0.998,0.101
1755668814.517244,0.007,-0.997,0.102
1755668814.636228,0.009,-0.997,0.101
1755668814.760834,0.008,-0.998,0.101
1755668814.885987,0.009,-0.998,0.101
1755668815.004603,0.008,-0.997,0.102
1755668815.121613,0.008,-0.998,0.101
1755668815.242205,0.01,-0.998,0.101
1755668815.360353,0.01,-0.998,0.101
1755668815.474047,0.008,-0.998,0.102
1755668815.592747,0.008,-0.998,0.102
1755668815.708865,0.009,-0.997,0.102
1755668815.827659,0.01,-0.997,0.101
1755668815.939008,0.008,-0.997,0.102
1755668816.05186,0.008,-0.997,0.102
1755668816.179577,0.009,-0.997,0.102
1755668816.305878,0.008,-0.997,0.101
1755668816.433488,0.008,-0.998,0.101
1755668816.561047,0.008,-0.997,0.102
1755668816.675265,0.009,-0.998,0.101
1755668816.79028,0.009,-0.998,0.102
1755668816.909813,0.009,-0.998,0.102
1755668817.028202,0.009,-0.998,0.101
1755668817.154301,0.009,-0.997,0.101
1755668817.2719738,0.008,-0.997,0.102
1755668817.402345,0.009,-0.997,0.101
1755668817.518687,0.008,-0.998,0.102
1755668817.6378849,0.008,-0.998,0.102
1755668817.745855,0.009,-0.997,0.102
1755668817.864437,0.009,-0.998,0.102
1755668817.980931,0.008,-0.998,0.101
1755668818.1089,0.009,-0.998,0.102
1755668818.224399,0.008,-0.998,0.101
1755668818.3414,0.008,-0.998,0.102
1755668818.460888,0.009,-0.997,0.102
1755668818.579233,0.008,-0.998,0.101
